id	title
tome1	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome10	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome11	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome12	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome2	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome3	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome4	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome5	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome6	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome7	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome8	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
tome9	Recueil des documents concernant le Poitou contenus dans les registres de la Chancellerie de France
